Result: timeout
Goal: [-15.471380173762329, -20.42520851209839, -29.54818483218696, -153.9456386634831, 28.832346174415413, 98.83037039910437]
Steps: 500
Start: [27.35565360028247, -2.6403820546011394, -20.355117525567778, 14.574132287847647, 47.799495195125274, -169.09796412002618]
End: [-3.8583298641068016, -11.89254331898542, -28.263158798219774, 0.0, 0.0, 0.0]
Start distance: 47.3mm
End distance: 14.5mm

Step 325 (dist=12.4mm): source: sac, act_name: move_tangentially
Step 326 (dist=12.1mm): source: sac, act_name: move_tangentially
Step 327 (dist=10.3mm): source: sac, act_name: move_tangentially
Step 328 (dist=13.0mm): source: q_store, act_name: move_tangentially
Step 329 (dist=10.3mm): source: sac, act_name: move_tangentially
Step 330 (dist=12.1mm): source: sac, act_name: move_tangentially
Step 331 (dist=12.4mm): source: sac, act_name: move_tangentially
Step 332 (dist=12.1mm): source: sac, act_name: move_tangentially
Step 333 (dist=12.4mm): source: sac, act_name: move_tangentially
Step 334 (dist=14.2mm): source: q_store, act_name: move_tangentially
Step 335 (dist=11.2mm): source: sac, act_name: move_tangentially
Step 336 (dist=13.6mm): source: sac, act_name: move_tangentially
Step 337 (dist=16.1mm): source: q_store, act_name: move_tangentially
Step 338 (dist=13.3mm): source: sac, act_name: move_tangentially
Step 339 (dist=12.4mm): source: sac, act_name: move_tangentially
Step 340 (dist=10.5mm): source: sac, act_name: move_tangentially
Step 341 (dist=11.1mm): source: q_store, act_name: move_tangentially
Step 342 (dist=10.3mm): source: sac, act_name: move_tangentially
Step 343 (dist=7.8mm): source: sac, act_name: move_tangentially
Step 344 (dist=7.0mm): source: sac, act_name: move_tangentially
Step 345 (dist=6.3mm): source: sac, act_name: move_tangentially
Step 346 (dist=7.1mm): source: sac, act_name: move_tangentially
Step 347 (dist=5.5mm): source: sac, act_name: move_tangentially
Step 348 (dist=6.8mm): source: sac, act_name: move_tangentially
Step 349 (dist=9.0mm): source: q_store, act_name: move_tangentially
Step 350 (dist=6.8mm): source: sac, act_name: move_tangentially
Step 351 (dist=5.7mm): source: sac, act_name: move_tangentially
Step 352 (dist=6.6mm): source: sac, act_name: move_tangentially
Step 353 (dist=8.8mm): source: sac, act_name: move_tangentially
Step 354 (dist=11.5mm): source: sac, act_name: move_tangentially
Step 355 (dist=14.1mm): source: sac, act_name: move_tangentially
Step 356 (dist=12.4mm): source: q_store, act_name: move_tangentially
Step 357 (dist=9.9mm): source: q_store, act_name: move_tangentially
Step 358 (dist=8.1mm): source: sac, act_name: move_tangentially
Step 359 (dist=9.8mm): source: q_store, act_name: move_tangentially
Step 360 (dist=8.0mm): source: sac, act_name: move_tangentially
Step 361 (dist=6.0mm): source: sac, act_name: move_tangentially
Step 362 (dist=5.6mm): source: sac, act_name: move_tangentially
Step 363 (dist=7.3mm): source: sac, act_name: move_tangentially
Step 364 (dist=8.2mm): source: q_store, act_name: move_tangentially
Step 365 (dist=9.1mm): source: q_store, act_name: move_tangentially
Step 366 (dist=10.8mm): source: sac, act_name: move_tangentially
Step 367 (dist=13.3mm): source: q_store, act_name: move_tangentially
Step 368 (dist=10.4mm): source: sac, act_name: move_tangentially
Step 369 (dist=8.1mm): source: q_store, act_name: move_tangentially
Step 370 (dist=6.3mm): source: sac, act_name: move_tangentially
Step 371 (dist=6.1mm): source: q_store, act_name: move_tangentially
Step 372 (dist=5.3mm): source: sac, act_name: move_tangentially
Step 373 (dist=5.9mm): source: sac, act_name: move_tangentially
Step 374 (dist=6.9mm): source: q_store, act_name: move_tangentially
Step 375 (dist=8.6mm): source: sac, act_name: move_tangentially
Step 376 (dist=10.3mm): source: q_store, act_name: move_tangentially
Step 377 (dist=12.3mm): source: q_store, act_name: move_tangentially
Step 378 (dist=9.5mm): source: q_store, act_name: move_tangentially
Step 379 (dist=11.9mm): source: q_store, act_name: move_tangentially
