Result: timeout
Goal: [5.2769172608558685, 27.7823414247585, -3.9020351155439474, 110.34762172270342, 2.76544752652292, -7.412395643009103]
Steps: 500
Start: [23.270821212331548, -2.7289679750133184, -31.27481114558116, -171.73871055763965, 37.31996258254273, -174.96943177525307]
End: [17.852466658745627, 94.28062761829952, -43.02013054337861, -60.0, 0.0, 0.0]
Start distance: 44.8mm
End distance: 78.2mm

Step 374 (dist=14.3mm): source: q_store, act_name: move_tangentially
Step 375 (dist=16.2mm): source: q_store, act_name: move_tangentially
Step 376 (dist=15.7mm): source: q_store, act_name: move_tangentially
Step 377 (dist=13.9mm): source: q_store, act_name: move_tangentially
Step 378 (dist=12.8mm): source: q_store, act_name: move_tangentially
Step 379 (dist=14.8mm): source: q_store, act_name: move_tangentially
Step 380 (dist=14.0mm): source: q_store, act_name: move_tangentially
Step 381 (dist=12.2mm): source: q_store, act_name: move_tangentially
Step 382 (dist=14.1mm): source: q_store, act_name: move_tangentially
Step 383 (dist=13.7mm): source: q_store, act_name: move_tangentially
Step 384 (dist=12.8mm): source: q_store, act_name: move_tangentially
Step 385 (dist=14.9mm): source: q_store, act_name: move_tangentially
Step 386 (dist=13.1mm): source: q_store, act_name: move_tangentially
Step 387 (dist=11.2mm): source: q_store, act_name: move_tangentially
Step 388 (dist=9.0mm): source: q_store, act_name: move_tangentially
Step 389 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 390 (dist=10.9mm): source: q_store, act_name: detach_edge
Step 391 (dist=70.2mm): source: q_store, act_name: free_forward
Step 392 (dist=64.8mm): source: q_store, act_name: free_forward
Step 393 (dist=59.9mm): source: q_store, act_name: free_forward
Step 394 (dist=55.8mm): source: q_store, act_name: free_forward
Step 395 (dist=52.6mm): source: q_store, act_name: free_forward
Step 396 (dist=50.5mm): source: q_store, act_name: turn_left_big
Step 397 (dist=50.5mm): source: q_store, act_name: free_forward
Step 398 (dist=49.4mm): source: q_store, act_name: turn_left_big
Step 399 (dist=49.4mm): source: q_store, act_name: look_down_big
Step 400 (dist=49.4mm): source: q_store, act_name: free_forward
Step 401 (dist=47.4mm): source: q_store, act_name: free_forward
Step 402 (dist=46.7mm): source: q_store, act_name: turn_left_big
